Comment,Designator,Footprint,JLCPCB Part # (LCSC Part #)
4.7uF 0402,"C1,C2",0402,C2858031
0.1uF 0402,"C3,C10",0402,C1525
10nF 0402 low-leak,C4,0402,C22400107
10uF 16V X5R 0603,C5,0603,C18164635
1uF 0402,"C6,C8,C9",0402,C52923
22uF 10V X5R 0603,C7,0603,C20416425
10nF 0402,"C12,C13",0402,C15195
22uH,L1,,C2849435
1k 0402,"R1,R2,R3,R7",0402,C11702
4.7M 0402,R4,0402,C3013173
1M 0402,R5,0402,C26083
100k 0402,R6,0402,C25741
4.53M 0402,ROK1,0402,C137964
7.15M 0402,ROK2,0402,C477783
1.33M 0402,ROK3,0402,C5713265
6.04M 0402 1%,ROV1,0402,C172106
6.98M 0402 1%,ROV2,0402,C137942
Raytac MDBT50Q-1MV2 (nRF52840),U1,,C5118826
TI BQ25505,U2,,C882746
TI TPS7A2033 3.3 V LDO (sensor rail),"U3,U4",,C46459900
